Name,Runs,Ave,SR,Fours,Sixes,HF
,,,,,,
CH Gayle,733,61.08,160.74,46,59,9
,,,,,,
G Gambhir,590,36.87,143.55,64,17,6
,,,,,,
V Sehwag,495,33,161.23,57,19,5
,,,,,,
CL White,479,43.54,149.68,41,20,5
,,,,,,
S Dhawan,569,40.64,129.61,58,18,5
,,,,,,
AM Rahane,560,40,129.33,73,10,5
,,,,,,
KP Pietersen,305,61,147.34,22,20,3
,,,,,,
RG Sharma,433,30.92,126.6,39,18,5
,,,,,,
AB de Villiers,319,39.87,161.11,26,15,3
,,,,,,
JP Duminy,244,81.33,128.42,13,11,2
,,,,,,
DA Warner,256,36.57,164.1,28,14,3
,,,,,,
SR Watson,255,42.5,151.78,26,14,2
,,,,,,
F du Plessis,398,33.16,130.92,29,17,3
,,,,,,
OA Shah,340,37.77,132.81,24,16,3
,,,,,,
DJ Bravo,371,46.37,140.53,20,20,0
,,,,,,
DJ Hussey,396,33,129.83,28,17,2
,,,,,,
SK Raina,441,25.94,135.69,36,19,1
,,,,,,
AT Rayudu,333,37,132.14,21,14,2
,,,,,,
Mandeep Singh,432,27,126.31,53,7,2
,,,,,,
R Dravid,462,28.87,112.13,63,4,2
,,,,,,
DR Smith,157,39.25,160.2,18,7,1
,,,,,,
M Vijay,336,25.84,125.84,39,10,2
,,,,,,
SPD Smith,362,40.22,135.58,24,14,0
,,,,,,
TM Dilshan,285,35.62,109.19,33,5,3
,,,,,,
RV Uthappa,405,27,118.07,38,10,2
,,,,,,
SE Marsh,336,30.54,120,39,7,2
,,,,,,
KA Pollard,220,24.44,138.36,15,14,2
,,,,,,
DMD Jayawardene,335,27.91,112.41,39,3,3
,,,,,,
V Kohli,364,28,111.65,33,9,2
,,,,,,
MA Agarwal,225,20.45,142.4,19,15,1
,,,,,,
SR Tendulkar,324,29.45,114.48,39,4,2
,,,,,,
MEK Hussey,261,32.62,110.59,28,8,2
,,,,,,
JH Kallis,409,25.56,106.51,34,10,2
,,,,,,
MS Dhoni,357,29.75,128.41,26,9,1
,,,,,,
MS Bisla,213,30.42,133.12,16,10,1
,,,,,,
JD Ryder,256,25.6,120.75,23,8,2
,,,,,,
BJ Hodge,245,30.62,140,18,9,0
,,,,,,
NV Ojha,255,23.18,113.83,21,13,1
,,,,,,
DB Das,126,42,135.48,9,6,0
,,,,,,
AC Gilchrist,172,34.4,120.27,21,4,1
,,,,,,
BB McCullum,289,24.08,102.12,37,3,1
,,,,,,
IK Pathan,176,25.14,139.68,14,6,0
,,,,,,
Azhar Mahmood,186,23.25,130.98,16,8,0
,,,,,,
MK Pandey,143,20.42,127.67,12,6,1
,,,,,,
S Badrinath,196,28,108.28,23,2,1
,,,,,,
DA Miller,98,32.66,130.66,6,4,0
,,,,,,
MK Tiwary,260,26,105.69,21,3,1
,,,,,,
JA Morkel,107,15.28,157.35,5,6,0
,,,,,,
LRPL Taylor,197,19.7,115.2,12,7,1
,,,,,,
M Manhas,120,30,125,10,4,0
,,,,,,
DT Christian,145,29,122.88,8,6,0
,,,,,,
RA Jadeja,191,15.91,126.49,13,9,0
,,,,,,
JEC Franklin,220,24.44,98.65,15,6,1
,,,,,,
KC Sangakkara,200,18.18,108.69,21,4,1
,,,,,,
Y Nagar,153,30.6,115.03,13,3,0
,,,,,,
STR Binny,90,22.5,134.32,9,3,0
,,,,,,
SS Tiwary,191,23.87,112.35,9,8,0
,,,,,,
KD Karthik,238,18.3,111.73,30,2,0
,,,,,,
AL Menaria,220,20,108.91,14,8,0
,,,,,,
PA Patel,194,17.63,117.57,19,4,0
,,,,,,
SC Ganguly,268,17.86,98.89,30,4,0
,,,,,,
YK Pathan,194,19.4,114.79,10,7,0
,,,,,,
Harbhajan Singh,108,12,135,14,3,0
,,,,,,
RE Levi,83,13.83,113.69,10,4,1
,,,,,,
LR Shukla,75,12.5,131.57,4,5,0
,,,,,,
Y Venugopal Rao,132,22,104.76,8,5,0
,,,,,,
AD Mathews,127,18.14,117.59,5,4,0
,,,,,,
PP Chawla,106,13.25,120.45,9,4,0
,,,,,,
Shakib Al Hasan,91,15.16,122.97,6,3,0
,,,,,,
N Saini,140,14,99.29,16,0,1
,,,,,,
MN Samuels,124,17.71,100.81,7,5,0
,,,,,,
MJ Clarke,98,16.33,104.25,12,0,0
,,,,,,
R Bhatia,35,11.66,125,4,0,0
,,,,,,
R Vinay Kumar,68,13.6,109.67,3,2,0
,,,,,,
P Kumar,35,11.66,116.66,2,1,0
,,,,,,
J Botha,58,14.5,107.4,4,1,0
,,,,,,
A Ashish Reddy,35,8.75,120.68,3,1,0
,,,,,,
DL Vettori,31,7.75,119.23,3,1,0
,,,,,,
SP Goswami,69,13.8,102.98,4,1,0
,,,,,,
SL Malinga,55,9.16,103.77,4,3,0
,,,,,,
RJ Peterson,32,10.66,106.66,3,1,0
,,,,,,
R Ashwin,18,6,120,2,0,0
,,,,,,
B Kumar,40,13.33,100,4,0,0
,,,,,,
DW Steyn,19,3.8,90.47,0,1,0
,,,,,,
A Mishra,16,5.33,80,1,0,0
,,,,,,
Z Khan,12,6,70.58,1,0,0
,,,,,,
WD Parnell,19,4.75,70.37,2,0,0
,,,,,,
PC Valthaty,30,5,58.82,4,0,0
,,,,,,
RP Singh,6,3,50,0,0,0
,,,,,,
R Sharma,2,0.5,18.18,0,0,0
